location,Region,Time_Zone
Prague,Europe,CET (UTC+1)
Singapore,Asia,SGT (UTC+8)
Lisbon,Europe,WET (UTC+0)
Stockholm,Europe,CET (UTC+1)
Los Angeles,North America,PST (UTC-8)
Moscow,Europe,MSK (UTC+3)
Oslo,Europe,CET (UTC+1)
Dublin,Europe,GMT (UTC+0)
Berlin,Europe,CET (UTC+1)
London,Europe,GMT (UTC+0)
Mumbai,Asia,IST (UTC+5:30)
Tokyo,Asia,JST (UTC+9)
Sydney,Australia,AEDT (UTC+11)
Vienna,Europe,CET (UTC+1)
Mexico City,North America,CST (UTC-6)
Cape Town,Africa,SAST (UTC+2)
Paris,Europe,CET (UTC+1)
Athens,Europe,EET (UTC+2)
Toronto,North America,EST (UTC-5)
Barcelona,Europe,CET (UTC+1)
Warsaw,Europe,CET (UTC+1)
Amsterdam,Europe,CET (UTC+1)
São Paulo,South America,BRT (UTC-3)
Helsinki,Europe,EET (UTC+2)
Rome,Europe,CET (UTC+1)
Seoul,Asia,KST (UTC+9)
Dubai,Middle East,GST (UTC+4)
Budapest,Europe,CET (UTC+1)
New York,North America,EST (UTC-5)
Cairo,Africa,EET (UTC+2)
Ho Chi Minh City,Asia,ICT (UTC+7)
Lima,South America,PET (UTC-5)
Jakarta,Asia,WIB (UTC+7)
Kuala Lumpur,Asia,MYT (UTC+8)
Lagos,Africa,WAT (UTC+1)
Tel Aviv,Middle East,IST (UTC+2)
Istanbul,Europe,TRT (UTC+3)
Buenos Aires,South America,ART (UTC-3)
Manila,Asia,PHT (UTC+8)
Taipei,Asia,CST (UTC+8)
Hanoi,Asia,ICT (UTC+7)
Rio de Janeiro,South America,BRT (UTC-3)
Nairobi,Africa,EAT (UTC+3)
Bangkok,Asia,ICT (UTC+7)
Santiago,South America,CLT (UTC-4)
Bogotá,South America,COT (UTC-5)
Guangzhou,Asia,CST (UTC+8)
Qingdao,Asia,CST (UTC+8)
Dalian,Asia,CST (UTC+8)
Tianjin,Asia,CST (UTC+8)
Wuhan,Asia,CST (UTC+8)
Nanjing,Asia,CST (UTC+8)
Xi'an,Asia,CST (UTC+8)
Macau,Asia,CST (UTC+8)
Chengdu,Asia,CST (UTC+8)
Shenyang,Asia,CST (UTC+8)
Chongqing,Asia,CST (UTC+8)
Suzhou,Asia,CST (UTC+8)
Hong Kong,Asia,HKT (UTC+8)
Hangzhou,Asia,CST (UTC+8)
Shenzhen,Asia,CST (UTC+8)
Jinan,Asia,CST (UTC+8)
Fuzhou,Asia,CST (UTC+8)
Zhengzhou,Asia,CST (UTC+8)
Xiamen,Asia,CST (UTC+8)
Ningbo,Asia,CST (UTC+8)
Kunming,Asia,CST (UTC+8)
Changsha,Asia,CST (UTC+8)
Nanning,Asia,CST (UTC+8)
Nanchang,Asia,CST (UTC+8)
Shijiazhuang,Asia,CST (UTC+8)
Taiyuan,Asia,CST (UTC+8)
Foshan,Asia,CST (UTC+8)
Guiyang,Asia,CST (UTC+8)
Hefei,Asia,CST (UTC+8)
Wuxi,Asia,CST (UTC+8)
Dongguan,Asia,CST (UTC+8)
Quanzhou,Asia,CST (UTC+8)
Nantong,Asia,CST (UTC+8)
Harbin,Asia,CST (UTC+8)
Wenzhou,Asia,CST (UTC+8)
Changchun,Asia,CST (UTC+8)
Changzhou,Asia,CST (UTC+8)
Urumqi,Asia,CST (UTC+8)
Zhuhai,Asia,CST (UTC+8)
Yantai,Asia,CST (UTC+8)
Lanzhou,Asia,CST (UTC+8)
Haikou,Asia,CST (UTC+8)
Sanya,Asia,CST (UTC+8)
