userid,createdat,cassandra_timestamp,keyword,searchtype
66f0e238f57669b3bb036db1,2024-09-25 07:51:07.830273,2024-09-25 07:51:07.830273,anne hathaway,person
66f0e238f57669b3bb036db1,2024-09-25 20:59:48.480327,2024-09-25 20:59:48.480327,peaky blinders,tv
66f0e238f57669b3bb036db1,2024-09-25 10:52:02.260148,2024-09-25 10:52:02.260148,schindler's list,movie
66f0e238f57669b3bb036db1,2024-09-25 06:15:54.282136,2024-09-25 06:15:54.282136,hugh jackman,person
66f0e238f57669b3bb036db1,2024-09-25 01:31:50.384333,2024-09-25 01:31:50.384333,titanic,movie
66f0e238f57669b3bb036db1,2024-09-25 00:51:07.227164,2024-09-25 00:51:07.227164,the godfather,movie
66f0e238f57669b3bb036db1,2024-09-25 06:26:16.238772,2024-09-25 06:26:16.238772,the boys,tv
66f0e238f57669b3bb036db1,2024-09-25 06:44:43.257223,2024-09-25 06:44:43.257223,the boys,tv
66f0e238f57669b3bb036db1,2024-09-25 14:44:47.527872,2024-09-25 14:44:47.527872,robert pattinson,person
66f0e238f57669b3bb036db2,2024-09-25 06:10:26.989329,2024-09-25 06:10:26.989329,friends,tv
66f0e238f57669b3bb036db2,2024-09-25 20:50:36.168969,2024-09-25 20:50:36.168969,chris evans,person
66f0e238f57669b3bb036db2,2024-09-25 18:56:09.958284,2024-09-25 18:56:09.958284,the crown,tv
66f0e238f57669b3bb036db2,2024-09-25 07:37:28.377738,2024-09-25 07:37:28.377738,anne hathaway,person
66f0e238f57669b3bb036db2,2024-09-25 18:16:25.601223,2024-09-25 18:16:25.601223,inception,movie
66f0e238f57669b3bb036db2,2024-09-25 02:53:01.715919,2024-09-25 02:53:01.715919,robert pattinson,person
66f0e238f57669b3bb036db2,2024-09-25 05:14:31.712352,2024-09-25 05:14:31.712352,robert downey jr.,person
66f0e238f57669b3bb036db2,2024-09-25 02:45:11.990695,2024-09-25 02:45:11.990695,spider-man,movie
66f0e238f57669b3bb036db2,2024-09-25 23:45:18.869676,2024-09-25 23:45:18.869676,avengers: endgame,movie
66f0e238f57669b3bb036db3,2024-09-25 00:35:10.751066,2024-09-25 00:35:10.751066,spider-man,movie
66f0e238f57669b3bb036db3,2024-09-25 13:42:52.611893,2024-09-25 13:42:52.611893,dwayne johnson,person
66f0e238f57669b3bb036db3,2024-09-25 07:31:23.603293,2024-09-25 07:31:23.603293,will smith,person
66f0e238f57669b3bb036db3,2024-09-25 20:32:26.151394,2024-09-25 20:32:26.151394,mad max,movie
66f0e238f57669b3bb036db3,2024-09-25 06:12:23.439415,2024-09-25 06:12:23.439415,kate winslet,person
66f0e238f57669b3bb036db4,2024-09-25 08:30:59.698831,2024-09-25 08:30:59.698831,lord of the rings,movie
66f0e238f57669b3bb036db4,2024-09-25 06:08:16.228162,2024-09-25 06:08:16.228162,saving private ryan,movie
66f0e238f57669b3bb036db4,2024-09-25 06:30:48.334329,2024-09-25 06:30:48.334329,hugh jackman,person
66f0e238f57669b3bb036db4,2024-09-25 23:00:33.112266,2024-09-25 23:00:33.112266,leonardo dicaprio,person
66f0e238f57669b3bb036db4,2024-09-25 06:38:19.590827,2024-09-25 06:38:19.590827,margot robbie,person
66f0e238f57669b3bb036db4,2024-09-25 21:01:16.381128,2024-09-25 21:01:16.381128,samuel l. jackson,person
66f0e238f57669b3bb036db4,2024-09-25 14:38:51.180335,2024-09-25 14:38:51.180335,interstellar,movie
66f0e238f57669b3bb036db4,2024-09-25 09:49:05.384417,2024-09-25 09:49:05.384417,avengers: endgame,movie
66f0e238f57669b3bb036db5,2024-09-25 12:17:16.737682,2024-09-25 12:17:16.737682,fargo,tv
66f0e238f57669b3bb036db5,2024-09-25 08:36:05.635245,2024-09-25 08:36:05.635245,the crown,tv
66f0e238f57669b3bb036db5,2024-09-25 10:08:17.826157,2024-09-25 10:08:17.826157,samuel l. jackson,person
66f0e238f57669b3bb036db5,2024-09-25 14:10:19.454626,2024-09-25 14:10:19.454626,angelina jolie,person
66f0e238f57669b3bb036db5,2024-09-25 22:09:24.123285,2024-09-25 22:09:24.123285,the godfather,movie
66f0e238f57669b3bb036db5,2024-09-25 19:01:09.752743,2024-09-25 19:01:09.752743,the boys,tv
66f0e238f57669b3bb036db5,2024-09-25 15:32:36.227603,2024-09-25 15:32:36.227603,interstellar,movie
66f0e238f57669b3bb036db6,2024-09-25 06:26:39.737788,2024-09-25 06:26:39.737788,hugh jackman,person
66f0e238f57669b3bb036db6,2024-09-25 17:40:44.830879,2024-09-25 17:40:44.830879,jurassic park,movie
66f0e238f57669b3bb036db6,2024-09-25 10:46:04.879942,2024-09-25 10:46:04.879942,goodfellas,movie
66f0e238f57669b3bb036db6,2024-09-25 06:39:36.842588,2024-09-25 06:39:36.842588,the witcher,tv
66f0e238f57669b3bb036db6,2024-09-25 08:09:21.728387,2024-09-25 08:09:21.728387,toy story,movie
66f0e238f57669b3bb036db6,2024-09-25 08:10:33.446138,2024-09-25 08:10:33.446138,back to the future,movie
66f0e238f57669b3bb036db6,2024-09-25 14:30:20.366089,2024-09-25 14:30:20.366089,avengers: endgame,movie
66f0e238f57669b3bb036db6,2024-09-25 10:04:46.223457,2024-09-25 10:04:46.223457,toy story,movie
66f0e238f57669b3bb036db6,2024-09-25 05:54:29.583211,2024-09-25 05:54:29.583211,guardians of the galaxy,movie
66f0e238f57669b3bb036db7,2024-09-25 09:09:46.124428,2024-09-25 09:09:46.124428,narcos,tv
66f0e238f57669b3bb036db7,2024-09-25 07:09:26.865608,2024-09-25 07:09:26.865608,emma stone,person
66f0e238f57669b3bb036db7,2024-09-25 00:13:44.197531,2024-09-25 00:13:44.197531,pulp fiction,movie
66f0e238f57669b3bb036db7,2024-09-25 00:29:11.404320,2024-09-25 00:29:11.404320,ryan gosling,person
66f0e238f57669b3bb036db7,2024-09-25 00:08:39.773996,2024-09-25 00:08:39.773996,pulp fiction,movie
66f0e238f57669b3bb036db7,2024-09-25 23:56:57.264461,2024-09-25 23:56:57.264461,the matrix,movie
66f0e238f57669b3bb036db7,2024-09-25 01:53:04.013250,2024-09-25 01:53:04.013250,bojack horseman,tv
66f0e238f57669b3bb036db7,2024-09-25 06:00:48.162685,2024-09-25 06:00:48.162685,leonardo dicaprio,person
66f0e238f57669b3bb036db7,2024-09-25 08:26:29.304075,2024-09-25 08:26:29.304075,narcos,tv
66f0e238f57669b3bb036db7,2024-09-25 18:49:42.243520,2024-09-25 18:49:42.243520,hugh jackman,person
66f0e238f57669b3bb036db8,2024-09-25 14:35:32.246902,2024-09-25 14:35:32.246902,margot robbie,person
66f0e238f57669b3bb036db8,2024-09-25 15:21:22.663555,2024-09-25 15:21:22.663555,ryan gosling,person
66f0e238f57669b3bb036db8,2024-09-25 02:51:01.051359,2024-09-25 02:51:01.051359,westworld,tv
66f0e238f57669b3bb036db8,2024-09-25 01:25:02.774424,2024-09-25 01:25:02.774424,the godfather,movie
66f0e238f57669b3bb036db8,2024-09-25 12:19:21.819118,2024-09-25 12:19:21.819118,meryl streep,person
66f0e238f57669b3bb036db8,2024-09-25 04:24:32.106146,2024-09-25 04:24:32.106146,forrest gump,movie
66f0e238f57669b3bb036db8,2024-09-25 16:24:34.174656,2024-09-25 16:24:34.174656,jurassic park,movie
66f0e238f57669b3bb036db8,2024-09-25 14:08:02.600342,2024-09-25 14:08:02.600342,fargo,tv
66f0e238f57669b3bb036db8,2024-09-25 16:03:45.785524,2024-09-25 16:03:45.785524,the godfather,movie
66f0e238f57669b3bb036db9,2024-09-25 11:06:29.008861,2024-09-25 11:06:29.008861,jennifer aniston,person
66f0e238f57669b3bb036db9,2024-09-25 13:10:58.765320,2024-09-25 13:10:58.765320,keanu reeves,person
66f0e238f57669b3bb036db9,2024-09-25 20:23:14.906616,2024-09-25 20:23:14.906616,guardians of the galaxy,movie
66f0e238f57669b3bb036db9,2024-09-25 14:04:53.157879,2024-09-25 14:04:53.157879,star wars,movie
66f0e238f57669b3bb036db9,2024-09-25 02:33:46.224219,2024-09-25 02:33:46.224219,narcos,tv
66f0e238f57669b3bb036db9,2024-09-25 07:58:11.969080,2024-09-25 07:58:11.969080,natalie portman,person
66f0e238f57669b3bb036dba,2024-09-25 19:17:57.234673,2024-09-25 19:17:57.234673,rick and morty,tv
66f0e238f57669b3bb036dba,2024-09-25 11:30:02.349995,2024-09-25 11:30:02.349995,chris evans,person
66f0e238f57669b3bb036dba,2024-09-25 09:09:12.767733,2024-09-25 09:09:12.767733,margot robbie,person
66f0e238f57669b3bb036dba,2024-09-25 02:44:27.432435,2024-09-25 02:44:27.432435,black mirror,tv
66f0e238f57669b3bb036dba,2024-09-25 04:48:33.864069,2024-09-25 04:48:33.864069,meryl streep,person
